Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
4484,1684521429758,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4485,1684521429787,12064.0,24.7,19.6,38.0,0.83,82.5,232.0,0.0,0.0,0.0,-17.175
4486,1684521429811,12064.0,24.7,19.6,38.0,0.83,82.5,232.0,0.0,0.0,0.0,-17.175
4487,1684521429843,12064.0,24.7,19.6,38.0,0.83,82.5,232.0,0.0,0.0,0.0,-17.175
4488,1684521429874,12064.0,24.7,19.6,38.0,0.83,82.5,232.0,0.0,0.0,0.0,-17.175
4489,1684521429901,12044.0,24.7,19.7,38.0,0.816,82.5,232.0,0.0,0.0,0.0,-17.175
4490,1684521429924,12044.0,24.7,19.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.175
4491,1684521429957,12044.0,24.7,19.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.175
4492,1684521429990,11984.0,24.800001,19.5,37.9,0.819,82.5,232.0,0.0,0.0,0.0,-16.949999
4493,1684521430018,11984.0,24.800001,19.5,37.9,0.819,82.5,232.0,0.0,0.0,0.0,-16.949999
